age,workclass,educational-num,marital-status,occupation,relationship,hours-per-week,is_Male,income >50K,is_White,from_USA,gained-capital
25,Private,7,Never-married,Simple Services,Child,40,1,0,0,1,0
38,Private,9,Married,Professional,Husband,50,1,0,1,1,0
28,Government,12,Married,Public Safety,Husband,40,1,1,1,1,0
44,Private,10,Married,Simple Services,Husband,40,1,1,0,1,1
34,Private,6,Never-married,Simple Services,Shared Housing,30,1,0,1,1,0
63,Self Employed,15,Married,Professional,Husband,32,1,1,1,1,1
24,Private,10,Never-married,Simple Services,Single,40,0,0,1,1,0
55,Private,4,Married,Specialized Services,Husband,10,1,0,1,1,0
65,Private,9,Married,Simple Services,Husband,40,1,1,1,1,1
36,Government,13,Married,Administrative,Husband,40,1,0,1,1,0
26,Private,9,Never-married,Administrative,Shared Housing,39,0,0,1,1,0
48,Private,9,Married,Simple Services,Husband,48,1,1,1,1,1
43,Private,14,Married,Management,Husband,50,1,1,1,1,0
20,Government,10,Never-married,Simple Services,Child,25,1,0,1,1,0
43,Private,9,Married,Administrative,Wife,30,0,0,1,1,0
37,Private,9,Widowed/Separated,Simple Services,Single,20,0,0,1,1,0
34,Private,13,Married,Specialized Services,Husband,47,1,1,1,1,0
34,Private,10,Never-married,Simple Services,Child,35,0,0,0,1,0
25,Private,13,Never-married,Professional,Shared Housing,43,1,0,1,0,0
25,Private,13,Married,Professional,Husband,40,1,0,1,1,0
45,Self Employed,9,Married,Specialized Services,Husband,90,1,1,1,1,1
22,Private,9,Never-married,Administrative,Child,20,1,0,1,1,0
23,Private,9,Widowed/Separated,Simple Services,Single,54,1,0,0,1,0
54,Private,9,Married,Specialized Services,Husband,35,1,0,1,1,0
32,Self Employed,10,Never-married,Professional,Shared Housing,60,1,0,1,1,0
46,Government,10,Married,Management,Husband,38,1,1,0,1,1
56,Self Employed,7,Widowed/Separated,Simple Services,Single,50,0,0,1,1,0
24,Self Employed,13,Never-married,Sales,Shared Housing,50,1,0,1,1,0
23,Government,10,Married,Public Safety,Husband,40,1,0,1,1,0
26,Private,9,Widowed/Separated,Management,Single,40,0,0,1,1,0
36,Government,13,Married,Professional,Husband,40,1,1,1,1,0
22,Private,3,Never-married,Simple Services,Shared Housing,50,1,0,1,0,0
17,Private,6,Never-married,Simple Services,Shared Housing,40,1,0,1,1,0
20,Private,9,Never-married,Specialized Services,Child,40,1,0,1,1,0
65,Private,14,Married,Professional,Husband,50,1,1,1,1,0
44,Self Employed,11,Married,Sales,Husband,45,1,1,1,1,0
36,Private,9,Married,Professional,Husband,40,1,0,1,1,0
29,Private,7,Married,Simple Services,Husband,40,1,0,1,1,0
20,Government,10,Never-married,Professional,Child,32,1,0,1,1,0
28,Private,11,Married,Professional,Wife,36,0,1,1,1,0
39,Private,4,Married,Specialized Services,Husband,40,1,0,1,0,0
54,Private,10,Married,Simple Services,Husband,50,1,0,1,1,1
52,Private,7,Widowed/Separated,Simple Services,Shared Housing,18,0,0,0,1,0
56,Self Employed,9,Widowed/Separated,Management,Shared Housing,50,0,0,1,1,0
18,Private,10,Never-married,Simple Services,Child,20,1,0,1,1,0
39,Private,9,Widowed/Separated,Simple Services,Child,40,1,0,0,1,0
21,Private,10,Never-married,Simple Services,Child,24,0,0,1,1,0
22,Private,9,Never-married,Simple Services,Shared Housing,60,1,1,1,1,1
38,Private,5,Married,Management,Shared Housing,54,1,0,1,0,0
21,Private,10,Never-married,Administrative,Child,40,0,0,1,1,0
63,Private,9,Married,Specialized Services,Husband,40,1,0,1,1,0
34,Government,13,Married,Management,Husband,50,1,1,1,1,1
42,Self Employed,9,Married,Management,Husband,50,1,1,1,1,1
33,Private,9,Married,Simple Services,Husband,40,1,0,1,1,0
30,Private,13,Never-married,Management,Shared Housing,50,0,0,1,1,0
39,Private,10,Widowed/Separated,Sales,Shared Housing,40,1,0,1,1,0
26,Private,14,Never-married,Management,Shared Housing,40,0,0,1,1,0
33,Private,9,Never-married,Simple Services,Child,40,0,0,1,1,0
47,Government,9,Widowed/Separated,Administrative,Shared Housing,40,0,0,1,1,0
41,Self Employed,12,Married,Specialized Services,Husband,60,1,1,1,1,1
19,Private,10,Never-married,Simple Services,Child,20,1,0,1,1,0
46,Private,9,Widowed/Separated,Simple Services,Shared Housing,40,1,0,1,1,0
43,Private,9,Married,Sales,Husband,48,1,0,1,1,0
55,Private,10,Married,Management,Husband,45,1,1,1,1,1
46,Private,11,Married,Specialized Services,Husband,40,1,0,1,1,0
30,Private,9,Married,Simple Services,Husband,40,1,0,1,0,0
21,Private,10,Widowed/Separated,Simple Services,Shared Housing,40,0,0,1,1,0
46,Private,10,Married,Specialized Services,Husband,40,1,0,0,0,0
41,Private,9,Married,Simple Services,Husband,50,1,0,1,1,0
69,Self Employed,9,Married,Sales,Husband,30,1,0,1,1,0
50,Private,9,Married,Simple Services,Husband,40,1,0,1,1,0
20,Private,10,Never-married,Administrative,Shared Housing,40,0,0,1,1,0
45,Self Employed,10,Married,Simple Services,Husband,50,1,0,1,1,0
23,Private,13,Never-married,Management,Shared Housing,40,1,0,1,1,0
24,Private,10,Widowed/Separated,Simple Services,Shared Housing,40,1,0,1,1,0
31,Self Employed,10,Married,Specialized Services,Husband,50,1,0,1,1,0
43,Private,9,Widowed/Separated,Simple Services,Shared Housing,44,0,0,1,1,0
20,Government,7,Never-married,Simple Services,Child,10,0,0,1,1,0
55,Private,9,Married,Sales,Husband,56,1,1,1,1,0
24,Government,10,Never-married,Public Safety,Shared Housing,40,1,0,1,1,0
59,Private,13,Never-married,Management,Shared Housing,25,0,0,1,1,0
49,Government,4,Never-married,Simple Services,Shared Housing,20,1,0,0,1,0
33,Private,14,Married,Professional,Wife,10,0,1,1,1,1
59,Government,13,Widowed/Separated,Administrative,Shared Housing,40,1,0,1,1,0
34,Private,14,Never-married,Simple Services,Shared Housing,40,1,0,0,1,0
20,Private,9,Never-married,Simple Services,Child,40,1,0,1,1,0
25,Private,13,Never-married,Management,Child,40,0,0,1,1,0
49,Private,6,Married,Professional,Husband,40,1,0,1,1,0
59,Private,9,Married,Simple Services,Husband,40,1,1,1,1,0
